,MPG,cylinders,cubicInches,horsepower,weightLbs,time-to-sixty,year,class
0,14.0,8,350,165,4209,12,1972,2
1,31.9,4,89,71,1925,14,1980,0
2,17.0,8,302,140,3449,11,1971,2
3,15.0,8,400,150,3761,10,1971,2
4,30.5,4,98,63,2051,17,1978,2
5,23.0,8,350,125,3900,17,1980,2
6,13.0,8,351,158,4363,13,1974,2
7,14.0,8,440,215,4312,9,1971,2
8,25.4,5,183,77,3530,20,1980,0
9,37.7,4,89,62,2050,17,1982,1
10,34.0,4,108,70,2245,17,1983,1
11,34.3,4,97,78,2188,16,1981,0
12,16.0,8,302,140,4141,14,1975,2
13,11.0,8,350,180,3664,11,1974,2
14,19.1,6,225,90,3381,19,1981,2
15,16.9,8,350,155,4360,15,1980,2
16,31.8,4,85,65,2020,19,1980,1
17,16.0,8,304,150,3433,12,1971,2
18,24.0,4,113,95,2278,16,1973,1
19,24.0,4,107,90,2430,15,1971,0
20,37.2,4,86,65,2019,16,1981,1
21,21.5,4,121,110,2600,13,1978,0
22,24.0,6,200,81,3012,18,1977,2
23,15.5,8,351,142,4054,14,1980,2
24,38.1,4,89,60,1968,19,1981,1
25,33.0,4,91,53,1795,17,1977,1
26,31.0,4,71,65,1773,19,1972,1
27,14.0,8,351,148,4657,14,1976,2
28,18.0,6,250,78,3574,21,1977,2
29,29.9,4,98,65,2380,21,1982,2
30,27.0,4,97,88,2130,15,1971,1
31,16.0,6,250,100,3278,18,1974,2
32,23.0,4,120,97,2506,15,1973,1
33,21.0,6,199,90,2648,15,1971,2
34,30.0,4,97,67,1985,16,1978,1
35,22.4,6,231,110,3415,16,1982,2
36,26.0,4,97,46,1835,21,1971,0
37,21.5,3,80,110,2720,14,1978,1
38,16.5,8,351,138,3955,13,1980,2
39,20.2,6,232,90,3265,18,1980,2
40,16.0,6,250,105,3897,19,1976,2
41,14.0,8,302,140,4638,16,1975,2
42,18.5,6,250,110,3645,16,1977,2
43,17.5,6,250,110,3520,16,1978,2
44,14.0,8,455,225,3086,10,1971,2
45,31.6,4,120,74,2635,18,1982,1
46,13.0,8,318,150,3755,14,1977,2
47,22.0,4,122,86,2395,16,1973,2
48,29.0,4,97,78,1940,15,1978,0
49,20.2,6,200,88,3060,17,1982,2
50,13.0,8,400,150,4464,12,1974,2
51,27.2,4,141,71,3190,25,1980,0
52,14.0,8,340,160,3609,8,1971,2
53,24.0,4,116,75,2158,16,1974,0
54,16.5,8,350,180,4380,12,1977,2
55,16.0,8,400,230,4278,10,1974,2
56,19.0,6,156,108,2930,16,1977,1
57,33.5,4,98,83,2075,16,1978,2
58,29.0,4,90,70,1937,14,1977,0
59,13.0,8,360,175,3821,11,1974,2
60,18.0,6,232,100,2945,16,1974,2
61,22.0,4,108,94,2379,17,1974,1
62,32.7,6,168,132,2910,11,1981,1
63,46.6,4,86,65,2110,18,1981,1
64,14.0,8,318,150,4237,15,1974,2
65,18.5,6,250,98,3525,19,1978,2
66,26.0,4,97,46,1950,21,1974,0
67,32.0,4,91,67,1965,16,1983,1
68,29.5,4,97,71,1825,12,1977,0
69,17.5,8,305,145,3880,13,1978,2
70,20.0,6,198,95,3102,17,1975,2
71,27.0,4,112,88,2640,19,1983,2
72,28.0,4,97,92,2288,17,1973,1
73,24.0,4,119,97,2545,17,1976,1
74,29.0,4,98,83,2219,17,1975,0
75,38.0,6,262,85,3015,17,1983,2
76,22.5,6,232,90,3085,18,1977,2
77,21.1,4,134,95,2515,15,1979,1
78,26.0,4,98,90,2265,16,1974,0
79,32.4,4,108,75,2350,17,1982,1
80,15.5,8,400,190,4325,12,1978,2
81,12.0,8,429,198,4952,12,1974,2
82,19.2,8,305,145,3425,13,1979,2
83,23.0,4,115,95,2694,15,1976,0
84,25.0,4,116,81,2220,17,1977,0
85,35.0,4,72,69,1613,18,1972,1
86,18.0,6,199,97,2774,16,1971,2
87,17.6,6,225,85,3465,17,1982,2
88,28.0,4,90,75,2125,15,1975,2
89,31.0,4,119,82,2720,19,1983,2
90,34.1,4,86,65,1975,15,1980,1
91,27.2,4,119,97,2300,15,1979,1
92,13.0,8,350,175,4100,13,1974,2
93,17.0,6,250,100,3329,16,1972,2
94,26.0,4,98,79,2255,18,1977,2
95,17.0,6,231,110,3907,21,1976,2
96,12.0,8,350,180,4499,13,1974,2
97,18.0,6,250,88,3139,15,1972,2
98,18.2,8,318,135,3830,15,1980,2
99,16.0,6,250,100,3781,17,1975,2
100,11.0,8,400,150,4997,14,1974,2
101,12.0,8,400,167,4906,13,1974,2
102,25.0,4,98,80,2126,17,1973,2
103,34.2,4,105,70,2200,13,1980,2
104,32.2,4,108,75,2265,15,1981,1
105,26.6,4,151,84,2635,16,1982,2
106,43.4,4,90,48,2335,24,1981,0
107,30.0,4,88,76,2065,15,1972,0
108,25.0,4,121,115,2671,14,1976,0
109,18.0,8,307,130,3504,12,1971,2
110,20.0,4,97,88,2279,19,1974,1
111,18.0,4,121,112,2933,15,1973,0
112,16.0,8,351,149,4335,15,1978,2
113,33.0,4,91,53,1795,18,1976,1
114,37.3,4,91,69,2130,15,1980,0
115,18.0,6,225,95,3785,19,1976,2
116,24.5,4,151,88,2740,16,1978,2
117,21.0,6,231,110,3039,15,1976,2
118,34.4,4,98,65,2045,16,1982,2
