country,region,income,income_level,life_exp,co2,co2_change,population,population ln,population ln(1+x)
Afghanistan,Asia,2.03,Level 1,62.7,0.254,increase,37.2,3.616308761,3.642835516
Albania,Europe,13.3,Level 3,78.4,1.59,increase,2.88,1.057790294,1.355835154
Algeria,Africa,11.6,Level 3,76,3.69,increase,42.2,3.742420221,3.765840495
Andorra,Europe,58.3,Level 4,82.1,6.12,decrease,0.077,-2.563949857,0.074179398
Angola,Africa,6.93,Level 2,64.6,1.12,decrease,30.8,3.42751469,3.45946629
Antigua and Barbuda,Americas,21,Level 3,76.2,5.88,increase,0.0963,-2.34028696,0.091940874
Argentina,Americas,22.7,Level 3,76.5,4.41,decrease,44.4,3.793239469,3.815512105
Armenia,Europe,12.7,Level 3,75.6,1.89,decrease,2.95,1.08180517,1.373715579
Australia,Asia,49,Level 4,82.9,16.9,decrease,24.9,3.214867803,3.254242969
Austria,Europe,55.3,Level 4,82.1,7.75,decrease,8.89,2.18492705,2.291524146
Azerbaijan,Europe,14.2,Level 3,70.8,3.7,decrease,9.95,2.297572551,2.393339456
Bahamas,Americas,36.5,Level 4,73.8,4.7,decrease,0.386,-0.95191791,0.326421901
Bahrain,Asia,46.4,Level 4,77,19.8,decrease,1.57,0.451075619,0.943905899
Bangladesh,Asia,4.44,Level 2,74.2,0.531,increase,161,5.081404365,5.087596335
Barbados,Americas,15.7,Level 3,76.5,4.48,decrease,0.287,-1.248273063,0.252313929
Belarus,Europe,19,Level 3,74,6.93,decrease,9.45,2.246014742,2.346601978
Belgium,Europe,51.1,Level 4,81.4,8.69,decrease,11.5,2.442347035,2.525728644
Belize,Americas,7.26,Level 2,74.4,1.5,increase,0.383,-0.95972029,0.324255053
Benin,Africa,3.16,Level 2,64,0.623,increase,11.5,2.442347035,2.525728644
Bhutan,Asia,11.3,Level 3,73,1.61,increase,0.754,-0.282362911,0.561898894
Bolivia,Americas,8.66,Level 3,71.8,1.96,increase,11.4,2.433613355,2.517696473
Bosnia and Herzegovina,Europe,14.4,Level 3,76.9,6.53,increase,3.32,1.199964783,1.463255402
Botswana,Africa,16.2,Level 3,61.8,2.96,increase,2.25,0.810930216,1.178654996
Brazil,Americas,14.7,Level 3,75.7,2.18,increase,209,5.342334252,5.347107531
Brunei,Asia,60.4,Level 4,74.2,18.5,decrease,0.429,-0.84629836,0.356974899
Bulgaria,Europe,22.2,Level 3,73.3,6.32,decrease,7.05,1.953027617,2.085672091
Burkina Faso,Africa,2.12,Level 1,61.3,0.198,increase,19.8,2.985681938,3.034952987
Burundi,Africa,0.762,Level 1,63.4,0.0467,increase,11.2,2.415913778,2.501435952
Cambodia,Asia,4.16,Level 2,69.7,0.64,increase,16.2,2.785011242,2.844909384
Cameroon,Africa,3.71,Level 2,62.6,0.323,increase,25.2,3.226843995,3.265759411
Canada,Americas,49,Level 4,82.2,15.3,decrease,37.1,3.61361697,3.640214282
Cape Verde,Africa,6.86,Level 2,73.5,1.16,increase,0.544,-0.608806032,0.434376452
Central African Republic,Africa,0.933,Level 1,51.5,0.0651,increase,4.67,1.541159072,1.735189118
Chad,Africa,1.58,Level 1,59.9,0.0656,decrease,15.5,2.740840024,2.803360381
Chile,Americas,25,Level 4,80.1,4.59,increase,18.7,2.928523524,2.980618636
China,Asia,15.1,Level 3,77.4,7.06,increase,1430,7.265429723,7.26612878
Colombia,Americas,14.3,Level 3,80.1,1.96,increase,49.7,3.906004933,3.925925911
Comoros,Africa,3.07,Level 2,68.5,0.263,increase,0.832,-0.183922838,0.605408266
"Congo, Dem. Rep.",Africa,1.09,Level 1,64.7,0.0243,decrease,84.1,4.432006567,4.443827036
"Congo, Rep.",Africa,3.93,Level 2,65,0.617,increase,5.24,1.656321498,1.830980182
Costa Rica,Americas,20.7,Level 3,80,1.61,decrease,5,1.609437912,1.791759469
Cote d'Ivoire,Africa,4.85,Level 2,63.6,0.335,decrease,25.1,3.222867846,3.261935314
Croatia,Europe,28.2,Level 4,78.6,4.48,decrease,4.16,1.425515074,1.640936579
Cuba,Americas,9.68,Level 3,78.3,2.53,increase,11.3,2.424802726,2.509599262
Cyprus,Europe,40,Level 4,80.8,6.3,decrease,1.19,0.173953307,0.783901544
Czech Republic,Europe,39.9,Level 4,79.3,9.94,decrease,10.7,2.370243741,2.459588842
Denmark,Europe,56.2,Level 4,81.1,6.06,decrease,5.75,1.749199855,1.909542505
Djibouti,Africa,5.21,Level 2,66.7,0.672,increase,0.959,-0.041864204,0.672434139
Dominica,Americas,11.5,Level 3,72.3,2.55,increase,0.0716,-2.636660205,0.069152859
Dominican Republic,Americas,17.7,Level 3,72.9,2.34,increase,10.6,2.360854001,2.451005098
Ecuador,Americas,11.6,Level 3,76.2,2.46,increase,17.1,2.839078464,2.895911938
Egypt,Africa,11.4,Level 3,70.7,2.43,decrease,98.4,4.589040804,4.599152114
El Salvador,Americas,8.62,Level 3,75.6,1.11,increase,6.42,1.859418118,2.004179057
Equatorial Guinea,Africa,20.4,Level 3,65.8,4.35,decrease,1.31,0.270027137,0.837247525
Eritrea,Africa,1.56,Level 1,63.4,0.215,increase,3.45,1.238374231,1.492904096
Estonia,Europe,35.1,Level 4,77.9,14.8,increase,1.32,0.277631737,0.841567186
Eswatini,Africa,8.52,Level 3,57.8,1.06,decrease,1.14,0.131028262,0.760805829
Ethiopia,Africa,2.1,Level 1,68.4,0.137,increase,109,4.691347882,4.700480366
Fiji,Asia,13.8,Level 3,68.3,2.41,increase,0.883,-0.124430078,0.63286625
Finland,Europe,48,Level 4,81.8,8.52,decrease,5.52,1.70837786,1.874874376
France,Europe,45.3,Level 4,82.9,5.2,decrease,65,4.17438727,4.189654742
Gabon,Africa,14.7,Level 3,67.5,2.53,decrease,2.12,0.751416089,1.137833002
Gambia,Africa,2.16,Level 1,66.4,0.268,increase,2.28,0.824175443,1.187843422
Georgia,Europe,14.3,Level 3,73.3,2.64,increase,4,1.386294361,1.609437912
Germany,Europe,53.5,Level 4,81.2,9.14,decrease,83.1,4.420044702,4.432006567
Ghana,Africa,5.32,Level 2,65.8,0.615,increase,29.8,3.394508394,3.42751469
Greece,Europe,29.1,Level 4,81,7.03,decrease,10.5,2.351375257,2.442347035
Grenada,Americas,16.8,Level 3,73.2,2.43,increase,0.111,-2.198225078,0.105260511
Guatemala,Americas,8.46,Level 3,72.4,1.07,increase,17.2,2.844909384,2.901421594
Guinea,Africa,2.5,Level 1,60.6,0.256,increase,12.4,2.517696473,2.595254707
Guinea-Bissau,Africa,1.9,Level 1,60.3,0.181,increase,1.87,0.625938431,1.05431203
Guyana,Americas,12.5,Level 3,67.1,3.12,increase,0.779,-0.249744233,0.576051409
Haiti,Americas,3.17,Level 2,63.5,0.27,increase,11.1,2.406945108,2.493205453
Honduras,Americas,5.68,Level 2,71.9,1.04,decrease,9.59,2.260720889,2.35991016
"Hong Kong, China",Asia,61.1,Level 4,84.3,5.86,decrease,7.37,1.997417706,2.124653885
Hungary,Europe,31.1,Level 4,76.3,5.14,decrease,9.71,2.273156282,2.371177884
Iceland,Europe,56.8,Level 4,84,10.8,decrease,0.337,-1.087672349,0.290428298
India,Asia,6.52,Level 2,70.5,1.96,increase,1350,7.207859871,7.208600338
Indonesia,Asia,11.4,Level 3,71.1,2.3,increase,268,5.590986981,5.59471138
Iran,Asia,13.5,Level 3,77.6,8.81,increase,81.8,4.404277244,4.416428061
Iraq,Asia,10.6,Level 3,73.3,5.32,increase,38.4,3.64805746,3.673765816
Ireland,Europe,83.7,Level 4,82,8.09,decrease,4.82,1.572773928,1.761300262
Israel,Asia,39.9,Level 4,83,7.67,decrease,8.38,2.125847914,2.238579763
Italy,Europe,42,Level 4,83.1,5.58,decrease,60.6,4.104294893,4.120661871
Jamaica,Americas,9.74,Level 3,76.3,2.79,decrease,2.93,1.075002423,1.368639426
Japan,Asia,41.8,Level 4,84.8,9.14,decrease,127,4.844187086,4.852030264
